Unnamed: 0,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
4852,1994,16,adelaide,True,False,False,False,True,mansell,British,williams,1,1,3,0,21,108,6,1,0.0,41
4871,1994,16,adelaide,True,False,False,False,True,michael_schumacher,German,benetton,2,20,92,8,1,103,8,2,0.0,25
4870,1994,16,adelaide,True,False,False,False,True,damon_hill,British,williams,3,19,91,6,2,108,6,1,0.5999999999999943,34
4863,1994,16,adelaide,True,False,False,False,True,hakkinen,Finnish,mclaren,4,12,26,0,4,38,0,4,0.7999999999999972,26
4855,1994,16,adelaide,True,False,False,False,True,barrichello,Brazilian,jordan,5,4,16,0,6,25,0,5,1.2999999999999972,22
4876,1994,16,adelaide,True,False,False,False,True,irvine,British,jordan,6,25,6,0,15,25,0,5,1.5,29
4877,1994,16,adelaide,True,False,False,False,True,herbert,British,benetton,7,26,0,0,26,103,8,2,1.5,30
4857,1994,16,adelaide,True,False,False,False,True,alesi,French,ferrari,8,6,23,0,5,64,1,3,1.5999999999999943,30
4854,1994,16,adelaide,True,False,False,False,True,brundle,British,mclaren,9,3,12,0,8,38,0,4,1.7999999999999972,35
4858,1994,16,adelaide,True,False,False,False,True,frentzen,German,sauber,10,7,7,0,12,12,0,7,1.7999999999999972,27
4853,1994,16,adelaide,True,False,False,False,True,berger,Austrian,ferrari,11,2,35,1,3,64,1,3,1.8999999999999917,35
4856,1994,16,adelaide,True,False,False,False,True,panis,French,ligier,12,5,7,0,11,11,0,8,1.8999999999999917,28
4865,1994,16,adelaide,True,False,False,False,True,blundell,British,tyrrell,13,14,8,0,10,13,0,6,2.0,28
4869,1994,16,adelaide,True,False,False,False,True,zanardi,Italian,team_lotus,14,18,0,0,30,0,0,12,2.0999999999999943,28
4873,1994,16,adelaide,True,False,False,False,True,katayama,Japanese,tyrrell,15,22,5,0,16,13,0,6,2.200000000000003,31
4864,1994,16,adelaide,True,False,False,False,True,alboreto,Italian,minardi,16,13,1,0,24,5,0,10,2.5999999999999943,37
4861,1994,16,adelaide,True,False,False,False,True,lehto,Finnish,sauber,17,10,1,0,25,12,0,7,2.5999999999999943,28
4860,1994,16,adelaide,True,False,False,False,True,martini,Italian,minardi,18,9,4,0,20,5,0,10,2.799999999999997,33
4859,1994,16,adelaide,True,False,False,False,True,fittipaldi,Brazilian,footwork,19,8,6,0,14,9,0,9,2.8999999999999915,23
4862,1994,16,adelaide,True,False,False,False,True,lagorce,French,ligier,20,11,0,0,0,11,0,8,3.0,26
4875,1994,16,adelaide,True,False,False,False,True,morbidelli,Italian,footwork,21,24,3,0,22,9,0,9,3.3999999999999915,26
4867,1994,16,adelaide,True,False,False,False,True,salo,Finnish,team_lotus,22,16,0,0,0,0,0,12,3.5999999999999943,27
4874,1994,16,adelaide,True,False,False,False,True,noda,Japanese,larrousse,23,23,0,0,0,2,0,11,3.899999999999992,25
4868,1994,16,adelaide,True,False,False,False,True,brabham,Australian,simtek,24,17,0,0,0,0,0,13,4.200000000000003,29
4866,1994,16,adelaide,True,False,False,False,True,deletraz,Swiss,larrousse,25,15,0,0,0,2,0,11,6.200000000000003,31
4872,1994,16,adelaide,True,False,False,False,True,schiattarella,Italian,simtek,26,21,0,0,0,0,0,13,6.299999999999997,26
