Unnamed: 0,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
12706,2015,12,monza,False,False,False,False,False,hamilton,British,mercedes,1,1,227,6,1,426,9,1,0.0,30
12710,2015,12,monza,False,False,False,False,False,raikkonen,Finnish,ferrari,2,5,82,0,4,242,2,2,0.1999999999999886,35
12707,2015,12,monza,False,False,False,False,False,vettel,German,ferrari,3,2,160,2,3,242,2,2,0.2999999999999971,28
12722,2015,12,monza,False,False,False,False,False,rosberg,German,mercedes,4,17,199,3,2,426,9,1,0.2999999999999971,30
12708,2015,12,monza,False,False,False,False,False,massa,Brazilian,williams,5,3,82,0,5,161,0,3,0.5,34
12709,2015,12,monza,False,False,False,False,False,bottas,Finnish,williams,6,4,79,0,6,161,0,3,0.6999999999999886,26
12711,2015,12,monza,False,False,False,False,False,perez,Mexican,force_india,7,6,25,0,11,49,0,6,1.1999999999999886,25
12724,2015,12,monza,False,False,False,False,False,grosjean,French,lotus_f1,8,19,38,0,9,50,0,5,1.6999999999999886,29
12712,2015,12,monza,False,False,False,False,False,hulkenberg,German,force_india,9,7,24,0,12,49,0,6,1.8999999999999917,28
12725,2015,12,monza,False,False,False,False,False,maldonado,Venezuelan,lotus_f1,10,20,12,0,14,50,0,5,1.0999999999999943,30
12714,2015,12,monza,False,False,False,False,False,ericsson,Swedish,sauber,12,9,7,0,17,23,0,8,2.799999999999997,25
12720,2015,12,monza,False,False,False,False,False,stevens,British,manor,13,15,0,0,20,0,0,10,4.299999999999997,24
12721,2015,12,monza,False,False,False,False,False,merhi,Spanish,manor,14,16,0,0,19,0,0,10,4.5,24
12719,2015,12,monza,False,False,False,False,False,button,British,mclaren,15,14,6,0,18,17,0,9,2.6999999999999886,35
12723,2015,12,monza,False,False,False,False,False,alonso,Spanish,mclaren,16,18,11,0,15,17,0,9,2.799999999999997,34
12716,2015,12,monza,False,False,False,False,False,sainz,Spanish,toro_rosso,17,11,9,0,16,35,0,7,2.1999999999999886,21
12717,2015,12,monza,False,False,False,False,False,nasr,Brazilian,sauber,17,13,16,0,13,23,0,8,2.1999999999999886,23
12715,2015,12,monza,False,False,False,False,False,kvyat,Russian,red_bull,18,10,57,0,7,108,0,4,2.3999999999999915,21
