Unnamed: 0,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
11107,2011,16,yeongam,False,False,False,True,False,hamilton,British,mclaren,1,2,178,2,5,388,5,2,0.0,26
11106,2011,16,yeongam,False,False,False,True,False,vettel,German,red_bull,2,1,324,9,1,518,9,1,0.2000000000000028,24
11109,2011,16,yeongam,False,False,False,True,False,button,British,mclaren,3,4,210,3,2,388,5,2,0.2999999999999971,31
11108,2011,16,yeongam,False,False,False,True,False,webber,Australian,red_bull,4,3,194,0,4,518,9,1,0.7000000000000028,35
11111,2011,16,yeongam,False,False,False,True,False,massa,Brazilian,ferrari,5,6,90,0,6,292,1,3,1.0,30
11110,2011,16,yeongam,False,False,False,True,False,alonso,Spanish,ferrari,6,5,202,1,3,292,1,3,1.2000000000000028,30
11113,2011,16,yeongam,False,False,False,True,False,rosberg,German,mercedes,7,8,63,0,7,123,0,4,2.0,26
11128,2011,16,yeongam,False,False,False,True,False,petrov,Russian,renault,8,23,36,0,9,72,0,5,2.299999999999997,27
11112,2011,16,yeongam,False,False,False,True,False,alguersuari,Spanish,toro_rosso,11,7,16,0,14,29,0,8,2.5,21
11129,2011,16,yeongam,False,False,False,True,False,michael_schumacher,German,mercedes,12,24,60,0,8,123,0,4,2.6000000000000085,42
11114,2011,16,yeongam,False,False,False,True,False,buemi,Swiss,toro_rosso,13,9,13,0,16,29,0,8,2.700000000000003,22
11120,2011,16,yeongam,False,False,False,True,False,kobayashi,Japanese,sauber,14,15,27,0,12,40,0,7,3.0,25
11118,2011,16,yeongam,False,False,False,True,False,bruno_senna,Brazilian,renault,15,13,2,0,18,72,0,5,3.0,28
11127,2011,16,yeongam,False,False,False,True,False,maldonado,Venezuelan,williams,16,22,1,0,19,5,0,9,3.4000000000000057,26
11121,2011,16,yeongam,False,False,False,True,False,perez,Mexican,sauber,17,16,13,0,15,40,0,7,3.6000000000000085,21
11117,2011,16,yeongam,False,False,False,True,False,barrichello,Brazilian,williams,18,12,4,0,17,5,0,9,3.700000000000003,39
11119,2011,16,yeongam,False,False,False,True,False,kovalainen,Finnish,lotus_racing,19,14,0,0,22,0,0,10,4.700000000000003,29
11122,2011,16,yeongam,False,False,False,True,False,trulli,Italian,lotus_racing,20,17,0,0,21,0,0,10,5.299999999999997,37
11123,2011,16,yeongam,False,False,False,True,False,glock,German,virgin,21,18,0,0,25,0,0,12,6.299999999999997,29
11125,2011,16,yeongam,False,False,False,True,False,ambrosio,Belgian,virgin,22,20,0,0,24,0,0,12,7.700000000000003,25
11126,2011,16,yeongam,False,False,False,True,False,liuzzi,Italian,hrt,23,21,0,0,23,0,0,11,8.0,31
