Unnamed: 0,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
14615,2020,5,silverstone,True,False,False,False,False,bottas,Finnish,mercedes,1,3,58,1,2,146,4,1,0.0,30
14614,2020,5,silverstone,True,False,False,False,False,hamilton,British,mercedes,2,2,88,3,1,146,4,1,0.0,35
14619,2020,5,silverstone,True,False,False,False,False,hulkenberg,German,racing_point,3,7,0,0,21,42,0,5,0.8999999999999915,32
14613,2020,5,silverstone,True,False,False,False,False,max_verstappen,Dutch,red_bull,4,1,52,0,3,78,0,2,1.0,22
14626,2020,5,silverstone,True,False,False,False,False,ricciardo,Australian,renault,5,14,20,0,9,32,0,6,1.0999999999999943,31
14618,2020,5,silverstone,True,False,False,False,False,stroll,Canadian,racing_point,6,6,20,0,8,42,0,5,1.2000000000000028,21
14623,2020,5,silverstone,True,False,False,False,False,gasly,French,alphatauri,7,11,12,0,12,13,0,7,1.2999999999999972,24
14616,2020,5,silverstone,True,False,False,False,False,leclerc,Monegasque,ferrari,8,4,33,0,5,43,0,4,1.3999999999999917,22
14617,2020,5,silverstone,True,False,False,False,False,albon,Thai,red_bull,9,5,26,0,6,78,0,2,1.5,24
14621,2020,5,silverstone,True,False,False,False,False,norris,British,mclaren,10,9,36,0,4,51,0,3,1.5999999999999943,20
14624,2020,5,silverstone,True,False,False,False,False,vettel,German,ferrari,11,12,10,0,13,43,0,4,1.8999999999999917,33
14625,2020,5,silverstone,True,False,False,False,False,sainz,Spanish,mclaren,12,13,15,0,10,51,0,3,1.8999999999999917,25
14628,2020,5,silverstone,True,False,False,False,False,grosjean,French,haas,13,16,0,0,20,1,0,9,2.0999999999999943,34
14620,2020,5,silverstone,True,False,False,False,False,ocon,French,renault,14,8,12,0,11,32,0,6,1.7999999999999972,23
14630,2020,5,silverstone,True,False,False,False,False,russell,British,williams,15,18,0,0,19,0,0,10,2.299999999999997,22
14622,2020,5,silverstone,True,False,False,False,False,kvyat,Russian,alphatauri,16,10,1,0,15,13,0,7,2.700000000000003,26
14632,2020,5,silverstone,True,False,False,False,False,kevin_magnussen,Danish,haas,17,20,1,0,16,1,0,9,3.0,27
14631,2020,5,silverstone,True,False,False,False,False,latifi,Canadian,williams,18,19,0,0,17,0,0,10,3.200000000000003,25
14629,2020,5,silverstone,True,False,False,False,False,giovinazzi,Italian,alfa,19,17,2,0,14,2,0,8,3.200000000000003,26
14627,2020,5,silverstone,True,False,False,False,False,raikkonen,Finnish,alfa,20,15,0,0,18,2,0,8,3.299999999999997,40
