Unnamed: 0,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
9754,2008,8,magny_cours,False,False,True,True,False,raikkonen,Finnish,ferrari,1,2,35,2,4,73,4,1,0.0,28
9753,2008,8,magny_cours,False,False,True,True,False,massa,Brazilian,ferrari,2,1,38,2,3,73,4,1,0.0999999999999943,27
9760,2008,8,magny_cours,False,False,True,True,False,alonso,Spanish,renault,3,8,9,0,9,9,0,7,0.3999999999999915,26
9755,2008,8,magny_cours,False,False,True,True,False,trulli,Italian,toyota,4,3,12,0,8,17,0,5,0.5,33
9757,2008,8,magny_cours,False,False,True,True,False,kubica,Polish,bmw_sauber,5,5,42,1,1,70,1,2,0.5999999999999943,23
9758,2008,8,magny_cours,False,False,True,True,False,webber,Australian,red_bull,6,6,15,0,7,21,0,4,0.7999999999999972,31
9761,2008,8,magny_cours,False,False,True,True,False,coulthard,British,red_bull,7,9,6,0,12,21,0,4,1.0,37
9763,2008,8,magny_cours,False,False,True,True,False,glock,German,toyota,8,11,5,0,13,17,0,5,1.1999999999999886,26
9759,2008,8,magny_cours,False,False,True,True,False,piquet_jr,Brazilian,renault,9,7,0,0,19,9,0,7,-0.6000000000000085,22
9756,2008,8,magny_cours,False,False,True,True,False,kovalainen,Finnish,mclaren,10,4,15,0,6,53,2,3,0.5,26
9765,2008,8,magny_cours,False,False,True,True,False,heidfeld,German,bmw_sauber,11,13,28,0,5,70,1,2,-0.6000000000000085,31
9764,2008,8,magny_cours,False,False,True,True,False,vettel,German,toro_rosso,12,12,5,0,14,7,0,9,-0.6000000000000085,20
9762,2008,8,magny_cours,False,False,True,True,False,hamilton,British,mclaren,13,10,38,2,2,53,2,3,0.2999999999999971,23
9769,2008,8,magny_cours,False,False,True,True,False,bourdais,French,toro_rosso,14,17,2,0,17,7,0,9,-0.4000000000000057,29
9767,2008,8,magny_cours,False,False,True,True,False,nakajima,Japanese,williams,15,15,7,0,11,15,0,6,-0.2000000000000028,23
9772,2008,8,magny_cours,False,False,True,True,False,button,British,honda,16,20,3,0,16,8,0,8,-0.1000000000000085,28
9770,2008,8,magny_cours,False,False,True,True,False,fisichella,Italian,force_india,17,18,0,0,18,0,0,10,0.5999999999999943,35
9771,2008,8,magny_cours,False,False,True,True,False,sutil,German,force_india,18,19,0,0,22,0,0,10,0.6999999999999886,25
9768,2008,8,magny_cours,False,False,True,True,False,rosberg,German,williams,19,16,8,0,10,15,0,6,-0.2000000000000028,22
9766,2008,8,magny_cours,False,False,True,True,False,barrichello,Brazilian,honda,20,14,5,0,15,8,0,8,-0.1000000000000085,36
